99 3
1000 40
2000 72
3000 115
4000 130
5000 152
6000 223
7000 233
8000 255
9000 279
10000 300
11000 419
12000 417
13000 465
14000 465
15000 490
16000 515
17000 540
18000 580
19000 590
20000 634
21000 833
22000 839
23000 1032
24000 915
25000 881
26000 757
27000 747
28000 766
29000 783
30000 817
31000 824
32000 843
33000 871
34000 885
35000 914
36000 921
37000 943
38000 960
39000 1003
40000 1004
41000 1317
42000 1363
43000 1367
44000 1392
45000 1412
46000 1422
47000 1441
48000 1507
49000 1471
50000 1515
51000 1507
52000 1528
53000 1572
54000 1567
55000 1583
56000 1681
57000 1629
58000 1672
59000 1665
60000 1709
61000 1710
62000 1770
63000 1791
64000 1770
65000 1825
66000 1812
67000 1846
68000 1880
69000 1898
70000 1895
71000 1928
72000 1937
73000 2005
74000 1974
75000 2021
76000 2010
77000 2047
78000 2082
79000 2095
80000 2096
81000 2141
82000 2795
83000 2739
84000 2768
85000 2835
86000 2823
87000 2896
88000 2901
89000 2912
90000 2872
91000 2902
92000 2907
93000 2984
94000 2935
95000 2970
96000 3034
97000 3031
98000 3020
99000 3065
1000 47
2000 81
3000 120
4000 159
5000 198
6000 237
7000 288
8000 316
9000 354
10000 393
11000 445
12000 468
13000 506
14000 559
15000 585
16000 623
17000 662
18000 702
19000 743
20000 779
21000 818
22000 856
23000 895
24000 934
25000 972
26000 1012
27000 1050
28000 1093
29000 1129
30000 1168
31000 1212
32000 1246
33000 1292
34000 1334
35000 1374
36000 1413
37000 1451
38000 1491
39000 1535
40000 1570
41000 1611
42000 1648
43000 1689
44000 1726
45000 1772
46000 1804
47000 1843
48000 1887
49000 1921
50000 1961
51000 2011
52000 2039
53000 2078
54000 2123
55000 2164
56000 2200
57000 2236
58000 2289
59000 2316
60000 2352
61000 2391
62000 2432
63000 2475
64000 2511
65000 2554
66000 2590
67000 2626
68000 2666
69000 2705
70000 2745
71000 2792
72000 2830
73000 2865
74000 2903
75000 2946
76000 2982
77000 3020
78000 3064
79000 3100
80000 3136
81000 3175
82000 3215
83000 3260
84000 3298
85000 3336
86000 3380
87000 3414
88000 3454
89000 3498
90000 3532
91000 3579
92000 3612
93000 3650
94000 3667
95000 3702
96000 3770
97000 3815
98000 3858
99000 3894
1000 50
2000 86
3000 124
4000 165
5000 206
6000 245
7000 284
8000 324
9000 363
10000 402
11000 441
12000 486
13000 525
14000 579
15000 623
16000 661
17000 715
18000 745
19000 787
20000 836
21000 885
22000 907
23000 968
24000 985
25000 1029
26000 1078
27000 1108
28000 1164
29000 1194
30000 1280
31000 1273
32000 1333
33000 1356
34000 1412
35000 1452
36000 1503
37000 1525
38000 1569
39000 1613
40000 1640
41000 1709
42000 1736
43000 1788
44000 1811
45000 1870
46000 1884
47000 1946
48000 1985
49000 2039
50000 2083
51000 2098
52000 2132
53000 2221
54000 2238
55000 2278
56000 2353
57000 2332
58000 2380
59000 2438
60000 2687
61000 2501
62000 2544
63000 2586
64000 2658
65000 2729
66000 2755
67000 2765
68000 2818
69000 2856
70000 2884
71000 2962
72000 2982
73000 3019
74000 3040
75000 3106
76000 3196
77000 3217
78000 3211
79000 3257
80000 3304
81000 3366
82000 3395
83000 3446
84000 3473
85000 3549
86000 3553
87000 3616
88000 3631
89000 3716
90000 3716
91000 3752
92000 3790
93000 3847
94000 3922
95000 3914
96000 3982
97000 4008
98000 4049
99000 4117
